id,文本,类别
205,面对穆斯林的恐怖，首先要认清伊斯兰不仅仅是披着宗教外衣的邪教，还是政治组织，也是准军事组织!,犯罪
206,“真正的女权”如果由男性来定义，以男性的标准来分类，在改变自己性别处境的时候还要处处想着男性的既得利益，才能被称为“女权”，默默付出/不讲求女性权利的女性才是好女性，那还叫什么女权？没你妈肯定没有你，父母的生理功能哪个对人类来说更重要？你和你爸会必须付出你妈，男人必须服从女人吗？,基于文化背景的刻板印象(SCB)
207,08年奥运会建议你还是多去了解一下吧[飙泪笑]达尔富尔事件你家主子可是签名抵制北京奥运，詹姆斯没有签名并客观发声，加上莫雷事件，詹姆斯两次站我们这边，人民日报多次点名表扬，你转身就搁这儿安些莫须有的罪名抹黑人家，这个性质不用多说了吧,种族歧视
208,颜骑,色情
209,骚b*,色情
210,看打大家的回答，貌似几乎都谈到的是直观看到对于某一性别在生活就业等等受到的不公平待遇。中国长达几千年的男尊女卑的思想还影响下还存在着一些其他方面的表现。比如，一个女生如果行为举止比较男性化，,种族歧视
211,"做男明星也挺难的，动不动就被扣上“爹味”的大帽子，不了解一个人就这么断章取义来引战我觉得也挺爹味儿的，像极了封建社会里道貌岸然的你爹,这种咬文嚼字搞文字狱过分敏感在我看来十分没有必要，他之前下意识反驳别人说竞技体育也有女生不仅仅是男生的时候怎么没夸呢？",微侵犯(MA)
212,盛雪推特,政治敏感
213,在当时肖华说的yl自由是什么意思你不知道？你觉得他们真追求yl自由怎么对于黑人歧视言论的时候怎么就不自由了？如果是个普通人说没人在意，他作为领导说的话想当程度就代表火箭队的意思，没人能撬他的嘴，但继任领导不该出来掰扯两句，划清界限？,种族歧视
214,血洗北京,政治敏感
215,"王震同志与苗族独立团-Biie
Feb 1,2023·为了扩大苗族独立团的声势，决定在八堡召开苗族独立团成立大会，并用我们带去的大洋买猪买羊，招待参加苗族独立团的群众。一切准备就绪之后，我和李绍北、李正芳带着苗族代表及上赛的青壮年打着红旗，去八堡召开苗族独立团成立大会。",犯罪
216,不是说美籍华人就活该，而是说美籍华人那就确实不关我们什么事。要谴责也是谴责美国种族歧视，就像谴责美国歧视黑人歧视拉美人一样,种族歧视
217,西藏青年大会,政治敏感
218,淫奸妹妹穴,色情
219,操烂,色情
220,吴官正*,政治敏感
221,你自己身上不会有艾滋病吧？中国人交的税钱为什么要给黑人买单啊？你这么帮黑人说话，你父母难道是黑人吗？？,种族歧视
222,89年春夏之交,政治敏感
223,8平方纪念日,政治敏感
224,迷失少女天堂,色情
225,中共伪政权,政治敏感
226,我要说河南人偷井盖，你肯定要反驳，那我用你的观点表示你别跟我咬文嚼字，这类回答也有好多赞，然而好多赞能证明我说的是对的吗?照你的说法，我是不认识所有的河南人，但是我可以用我个人看到的这些偏见就一口咬死河南人都偷井盖吗?,地域歧视
227,对上讲假话,政治敏感
228,真挺长见识的，中国居然这么多女人反陌生人社交，原来觉得接受度还可以。一边看着玛丽苏剧情富二代邂逅灰姑娘，一边恶心着拼车司机想认识自己。北京这边顺风车可是很多豪车在跑的，至于为什么跑，大家都明白。,地域歧视
229,毛人大代表,政治敏感
230,"《大纪元时报》总编：法轮功问题不解决中国不可能是和谐社会（图）
1999年7月20日，中国政府宣布取缔法轮功，并在全国范围内抓捕和拘押法轮功学员。 法轮功方面指称，十三年来，数以千计的法轮功学员被迫害致死，数以万计的法轮功学员被关进监狱遭受酷刑。对法轮功的迫害至今 ...",犯罪
231,文做,色情
232,88jb,政治敏感
233,毛性欲,色情
234,色电影,色情
235,1989六四shijian,政治敏感
236,就算她脱光了，在你的小金针菇硬起来的时候后悔了，你强来，那也叫强奸，懂么，这位潜在强奸犯式男网友？说得你生活中面对领导强迫你做事时，能有现在指责受害者一半的勇气怼回去一样,微侵犯(MA)
237,八久动乱,政治敏感
238,是的，女性想要的是平等的人权，而不是被按上赞美的帽子，还是让女性做些带孩子，鼓励丈夫的工作！,基于文化背景的刻板印象(SCB)
239,滥逼,色情
240,民运二十周年,政治敏感
241,梦网洪志,政治敏感
242,没觉得辽宁素质低，但有一说一，一小部分辽宁球迷的行为真挺败好感的。天天“这球员那球员明明辽宁人为什么不为辽宁队效力”言语中一种都是叛徒的感觉；然后引进不来强员就各种“我辽宁哪里不好了，来了能争冠为什么不来”基本全国有点水平的锋线内线都惦记一遍。,地域歧视
243,我觉得嫁给黑人的女人，都是自我逆向淘汰，和黑人离婚后，如果婚后有黑孩子，无论贫穷老幼哪个男人愿意接盘？如果没有黑孩子，恐怕年龄也超过30岁了，再加上有黑人婚史，哪个智力正常的男人愿意接盘，,种族歧视
244,六si,政治敏感
245,王丹贴纸,政治敏感
246,密室淫行,色情
247,哪儿有精神白人牛呢？白人老爷永远没错！杀人没错，凡是被白人老爷杀的，都是坏人，佛洛依德，阿富汗平民都该死；抢劫没错，,种族歧视
248,渴望一夜情,色情
249,东北人偷香蕉是没素质，广西人砸车就是真血性？qndy的吧，都是渣滓，还非要分个高下,地域歧视
250,避孕套,色情
251,不是有很多地方“不敢得罪黑人”这种政治正确嘛，歧视和黑命贵应该是同时存在的吧,种族歧视
252,找小姐,色情
253,换妻俱乐部,色情
254,李屠夫*,政治敏感
255,周六性吧,色情
256,那应该就是偏见…像我以前也以为河南人都偷井盖，内蒙骑马上学，新疆人都是土匪（以前无知的言论勿见怪）,地域歧视
257,一个是奴性，一个是不好惹。黑人什么德行，你以为是小绵羊,种族歧视
258,吓台,政治敏感
259,"不不不 我希望女拳世界做出点实际的行动,我并没有啊 就是天天看这点事在网上纠结 ，这反抗没什么作用不是，你干掉他不就结了嘛,你说话不要东扯一句西扯一句一句的好吧 我在说你了 既然这么仇男就干掉他们就好了嘛不是,女性一直在争取提高在社会上的地位，过去是很多因素造成的。极端也不见得能一步成功，那我只希望你能带刀上路，见一个男的干掉一个,因为别人愿意，每个人都有自己的思想，你认为对的你就去坚持，别人的生活不用去干涉。孩子选择姓什么是自己的权利。",基于文化背景的刻板印象(SCB)
260,法轮尊圣,政治敏感
261,黑人？有没有艾滋病？是否是三非？,种族歧视
262,捉奸在床一万对,色情
263,嘉定三屠,政治敏感
264,"因为大多数男性笃信这样一组概念：,1.如果我解决了一些关键问题（比如个人财富），就不再会受歧视；,2.我应该努力解决这些问题，至少我应该去尝试；,当然，也有很大一部分男性，解决得并不算很理想，或者说即使努力过，收效也甚微，",种族歧视
265,伍凡,政治敏感
266,[好奇]我没怪呀，第一不是所有白男都“看不起”蝈钕。第二一部分白男看不起又怎么样？一辈子不接触，照现在来看他们仇视所有亚裔还差不多。第三又不是我去当eg搞成这样的，严格来说我也是受害者。三点综合来看这件事情与我关系不大。,种族歧视
267,一夜情,色情
268,席指着护,政治敏感
269,自己无能，使劲骂别人，努力把关于自己无能这个事实转移到时别人害了自己，找人背锅总比自己背负压力好受。只不过以前男的找杨玉环，反正杨玉环死了活着的人说啥就是啥，玛德现在好多人活的好好的就敢让人背锅，当老子是病猫啊！,微侵犯(MA)
270,你去拿实际行动反对他们啊，现在全世界都在走向民族主义，冲我们吆喝算什么理性客观。而让国内越来越有民族主义倾向的是不公平的政策，是美国红脖子领袖发起的贸易战，是香港台湾人自以为高贵的歧视与反华。所谓理中客屁股在哪里自己清楚,地域歧视
271,8平方事件,政治敏感
272,供应警官服,政治敏感
273,尼克松,政治敏感
274,这是不是你云南的导游和政府人员？我选择导游是花了钱的 然后花钱雇你来抢劫我？这就是你云南人的态度？因为我来了云南我的钱就该给你？我就该被你打？我就该被赶下车？看看其他地方有这种问题没？洗地？,地域歧视
275,江青丈夫,政治敏感
276,wangqishan,政治敏感
277,从来不反对美国人歧视黑人，他们的事，和我无关,种族歧视
278,东北，湖南做鸡的。,地域歧视
279,我就发现一个问题，为什么大部分地域黑都是在网上黑呢？大家都说东北人怎么样怎么样，怎么就没一个当面跟我说的呢？笑了……,地域歧视
280,女性私处锻炼法,色情
281,我觉得 仇男女权的扣帽子行为 也并非完全没有好处，至少让某些男异性恋 知道被乱扣帽子是什么滋味了,微侵犯(MA)
282,免费淫色meimei电影,色情
283,现在的人认为河南骗子多是因为之前确实多，现在没有以前那么严重了，但是已经有了这个刻板印象，被别的地方的人骗了是被骗了，一旦被河南人骗了就是被河南人骗了，幸存者偏差，人们还是倾向于认为河南人骗子多。,地域歧视
284,梁擎暾,政治敏感
285,出房出车出天价彩礼请个小仙女回家供着，要求享尽所有女性特权也就忍了，完事贬低中国男人配不上中国女人。号_召男人们从传统婚姻观念中解放出来，别当婚姻供养者，去责任化，学习欧美性_解放，提裤子就跑，,种族歧视
286,不、是嫉妒，当大部分男人为了养家和体面的生活朝九晚九、过劳死猝死几乎成为一种现象，但出现这样一群人、ta们活的潇洒，还高喊口号要求权利. 我不管ta们是男是女，我是很嫉妒.加班的程序猿路过.,微侵犯(MA)
